iter	Logloss
0	0.6856959857
1	0.6791227039
2	0.6717899225
3	0.6638511426
4	0.6580172457
5	0.6507144487
6	0.6437044194
7	0.6373697166
8	0.6303612653
9	0.6233487287
10	0.617432267
11	0.6112557603
12	0.6047154091
13	0.598590745
14	0.5929433358
15	0.5874350269
16	0.5814848969
17	0.5753082628
18	0.5697650347
19	0.5647222221
20	0.5591776953
21	0.5528932068
22	0.5478595746
23	0.5427677099
24	0.5379897495
25	0.5329009458
26	0.5280160973
27	0.5230422005
28	0.5189913362
29	0.5149375162
30	0.5108606857
31	0.5066459987
32	0.5021120543
33	0.4975028742
34	0.4934381316
35	0.4892224115
36	0.4853520103
37	0.4811086189
38	0.477290028
39	0.4734954154
40	0.4687459098
41	0.4650332619
42	0.4614263617
43	0.4573857947
44	0.4533672604
45	0.449296723
46	0.445859242
47	0.4421619487
48	0.4383178181
49	0.435149433
50	0.4313332777
51	0.428247442
52	0.4251968589
53	0.4219356099
54	0.4186565667
55	0.4158153017
56	0.4129745192
57	0.41001614
58	0.407060463
59	0.4040713635
60	0.4012445274
61	0.39866143
62	0.3959272017
63	0.3933715819
64	0.390231504
65	0.3871168904
66	0.3843047877
67	0.3817422343
68	0.3792361401
69	0.3769779836
70	0.37463985
71	0.3721009725
72	0.3698441092
73	0.3673136718
74	0.3649806829
75	0.3626923105
76	0.3605338798
77	0.3584317031
78	0.356331404
79	0.3542739696
80	0.3519723876
81	0.3501202853
82	0.3482711737
83	0.3458847785
84	0.3436428855
85	0.3416329266
86	0.3397686985
87	0.3374502626
88	0.3356441306
89	0.3337390021
90	0.3317428627
91	0.3301486289
92	0.3281423263
93	0.3264336265
94	0.3247471784
95	0.3232684655
96	0.321098038
97	0.3194470305
98	0.3179808629
99	0.3166477659
100	0.3149680114
101	0.3132153704
102	0.3118437687
103	0.3103670455
104	0.3087432984
105	0.3071769556
106	0.3056842022
107	0.3043842398
108	0.303052154
109	0.3016999926
110	0.3001902797
111	0.2987932355
112	0.2973733274
113	0.2960510467
114	0.2940764467
115	0.2928575079
116	0.2914730646
117	0.2900862298
118	0.2885936069
119	0.2874235592
120	0.2863905434
121	0.2850790762
122	0.2832673705
123	0.2818401046
124	0.2801998775
125	0.2790891855
126	0.2780548066
127	0.2769627259
128	0.2753004831
129	0.2743340409
130	0.2727540143
131	0.2719553978
132	0.2708101775
133	0.2695803576
134	0.2679313541
135	0.2665644697
136	0.2656644273
137	0.2646732504
138	0.2633334013
139	0.2625830653
140	0.2613828208
141	0.2601678516
142	0.2591684992
143	0.2580200134
144	0.2565860352
145	0.2555717066
146	0.2541980385
147	0.2529918963
148	0.2518112069
149	0.2508220775
150	0.2500979904
151	0.2488082636
152	0.2476874848
153	0.2469686924
154	0.2461940126
155	0.2453249572
156	0.2443544298
157	0.2431749527
158	0.242305127
159	0.2415764157
160	0.2405913149
161	0.2395143453
162	0.2388284714
163	0.238162179
164	0.2372541249
165	0.236046432
166	0.2353237315
167	0.2346340923
168	0.2339882338
169	0.2328950385
170	0.23194137
171	0.2310202015
172	0.2301806822
173	0.2294088863
174	0.2286977018
175	0.2278286351
176	0.2271777367
177	0.2263618704
178	0.2256389448
179	0.2248188389
180	0.2240143846
181	0.2230758162
182	0.2221900199
183	0.2213034076
184	0.2206435173
185	0.2200469761
186	0.2194643169
187	0.2186818744
188	0.218004598
189	0.2175468941
190	0.2166459237
191	0.2157059196
192	0.2148619315
193	0.21415296
194	0.2131471011
195	0.2126035025
196	0.2120579419
197	0.2113630405
198	0.2109162076
199	0.2102804584
200	0.2096585168
201	0.2090774264
202	0.2084931095
203	0.2079645309
204	0.2071732656
205	0.2065326749
206	0.2052539247
207	0.2046840913
208	0.2041703219
209	0.2036601829
210	0.2027493863
211	0.2022107089
212	0.2016007692
213	0.2007851638
214	0.2003668378
215	0.1998301589
216	0.1994520618
217	0.1985942175
218	0.1978358932
219	0.1970846013
220	0.1964762688
221	0.1956845345
222	0.1949527958
223	0.1943192014
224	0.1936630384
225	0.1929197631
226	0.1923530385
227	0.1920098551
228	0.1913777931
229	0.1909113136
230	0.190360326
231	0.1899482962
232	0.189489353
233	0.1889318505
234	0.1882812254
235	0.1878653962
236	0.1871916868
237	0.1866273275
238	0.1862814906
239	0.185815993
240	0.1851923442
241	0.1842717491
242	0.1836518986
243	0.1829942768
244	0.1825984598
245	0.1821587379
246	0.1817486343
247	0.1813918794
248	0.1810078985
249	0.1804081606
250	0.1798399831
251	0.1795062352
252	0.1790326278
253	0.1786540839
254	0.1781155435
255	0.1777290242
256	0.1770995547
257	0.1764889943
258	0.1761318896
259	0.1756650418
260	0.1751626131
261	0.1744799583
262	0.1740270426
263	0.1736242708
264	0.173105008
265	0.1727074207
266	0.1721709081
267	0.1717820388
268	0.1714070866
269	0.1707525918
270	0.1701892173
271	0.1698643458
272	0.1694180311
273	0.1688112229
274	0.1681114785
275	0.1677175286
276	0.1672323446
277	0.1668111693
278	0.1665663775
279	0.166280171
280	0.1660517314
281	0.1654717738
282	0.1651580543
283	0.1646569594
284	0.1642862059
285	0.1640377911
286	0.16369529
287	0.1633228615
288	0.1630145996
289	0.1626629169
290	0.162266084
291	0.161566698
292	0.1612267631
293	0.160906281
294	0.1607003606
295	0.1601440037
296	0.1598267899
297	0.1596218801
298	0.158973117
299	0.1585755796
300	0.1579655704
301	0.157519496
302	0.1572998925
303	0.1569415341
304	0.1564832446
305	0.1559698919
306	0.1556228159
307	0.1552037456
308	0.1549036099
309	0.1545898264
310	0.1543092053
311	0.1538519972
312	0.1536174458
313	0.1531840364
314	0.1526861122
315	0.1523252169
316	0.1520155855
317	0.151533845
318	0.1513549923
319	0.1511375625
320	0.1510104487
321	0.1506805601
322	0.1505211459
323	0.150211227
324	0.1497158975
325	0.1494015675
326	0.1490063552
327	0.1487165604
328	0.1484277998
329	0.1481507736
330	0.1477360734
331	0.1475311918
332	0.1473075695
333	0.1470622656
334	0.1466466016
335	0.1463497231
336	0.1460277088
337	0.1455326802
338	0.1448299602
339	0.144642387
340	0.1441279943
341	0.1436534942
342	0.143301371
343	0.1430245409
344	0.1428514335
345	0.1424398415
346	0.1419163913
347	0.1413214351
348	0.1410970963
349	0.1408880253
350	0.1407082143
351	0.1403581315
352	0.140089439
353	0.1398159863
354	0.1394797992
355	0.1391357959
356	0.1387348857
357	0.1383863318
358	0.1381881431
359	0.1379035213
360	0.1375277603
361	0.1370368848
362	0.1367414143
363	0.136438536
364	0.1361439282
365	0.1357500562
366	0.1352813682
367	0.1348567227
368	0.1346178587
369	0.134338387
370	0.1339489043
371	0.133637207
372	0.1332337382
373	0.1330161908
374	0.1326752587
375	0.1324374083
376	0.1319854121
377	0.1318071114
378	0.1315780866
379	0.1311980735
380	0.13094013
381	0.1305234053
382	0.1301152653
383	0.1297621741
384	0.1295760204
385	0.1291592002
386	0.128916067
387	0.1286701328
388	0.1285020399
389	0.1283360863
390	0.1280225044
391	0.1276830555
392	0.1273995209
393	0.1270392546
394	0.1269084928
395	0.1266061288
396	0.1262451714
397	0.1258334423
398	0.1255625782
399	0.1254571133
400	0.1251960029
401	0.1249965356
402	0.124800009
403	0.1246520711
404	0.124291404
405	0.1239181168
406	0.1236714763
407	0.1233737143
408	0.1231557831
409	0.122969926
410	0.1227252964
411	0.122529156
412	0.122339814
413	0.1219614357
414	0.1216054302
415	0.1214619669
416	0.1212685606
417	0.1211388666
418	0.1209357183
419	0.1206490779
420	0.1202782732
421	0.1200970686
422	0.1198889556
423	0.119585429
424	0.1193217488
425	0.1190737798
