iter	Passed	Remaining
0	184	184045
1	191	95648
2	197	65515
3	204	50865
4	210	41849
5	216	35823
6	221	31421
7	226	28124
8	236	26051
9	242	23999
10	251	22581
11	256	21140
12	265	20174
13	271	19124
14	280	18389
15	284	17522
16	290	16790
17	299	16339
18	305	15796
19	315	15456
20	320	14936
21	328	14586
22	334	14221
23	343	13979
24	349	13639
25	355	13323
26	365	13174
27	371	12906
28	382	12791
29	391	12642
30	400	12525
31	412	12471
32	418	12268
33	428	12173
34	434	11975
35	443	11878
36	447	11657
37	455	11533
38	461	11364
39	465	11180
40	471	11037
41	476	10873
42	481	10714
43	488	10624
44	493	10477
45	498	10329
46	507	10294
47	512	10168
48	522	10142
49	528	10048
50	537	10004
51	542	9896
52	552	9875
53	559	9801
54	570	9800
55	575	9709
56	585	9680
57	590	9596
58	604	9639
59	610	9562
60	619	9538
61	625	9459
62	634	9431
63	641	9379
64	650	9356
65	657	9300
66	666	9276
67	672	9219
68	681	9193
69	684	9094
70	689	9028
71	699	9012
72	705	8964
73	714	8946
74	719	8879
75	728	8860
76	734	8804
77	739	8739
78	747	8717
79	752	8656
80	762	8649
81	819	9179
82	833	9203
83	868	9469
84	880	9481
85	893	9493
86	902	9474
87	928	9625
88	937	9599
89	950	9614
90	992	9911
91	1001	9885
92	1030	10046
93	1042	10047
94	1051	10014
95	1060	9986
96	1065	9920
97	1074	9889
98	1080	9835
99	1093	9839
100	1099	9789
101	1110	9778
102	1117	9728
103	1127	9716
104	1132	9657
105	1141	9628
106	1146	9572
107	1155	9546
108	1161	9492
109	1166	9437
110	1175	9414
111	1180	9361
112	1189	9340
113	1195	9288
114	1203	9261
115	1208	9211
116	1214	9164
117	1223	9145
118	1228	9098
119	1237	9077
120	1243	9032
121	1251	9008
122	1257	8965
123	1263	8922
124	1271	8899
125	1276	8853
126	1284	8831
127	1290	8790
128	1299	8771
129	1307	8753
130	1318	8744
131	1324	8709
132	1333	8691
133	1338	8652
134	1347	8633
135	1353	8599
136	1358	8559
137	1368	8548
138	1373	8507
139	1381	8485
140	1387	8454
141	1397	8444
142	1402	8407
143	1409	8379
144	1416	8351
145	1421	8316
146	1431	8305
147	1437	8273
148	1448	8272
149	1454	8239
150	1463	8227
151	1469	8196
152	1478	8182
153	1483	8151
154	1494	8148
155	1500	8117
156	1509	8103
157	1514	8072
158	1525	8066
159	1532	8047
160	1546	8058
161	1551	8026
162	1561	8016
163	1566	7985
164	1576	7976
165	1581	7946
166	1590	7935
167	1596	7906
168	1605	7894
169	1610	7864
170	1616	7835
171	1622	7812
172	1628	7784
173	1638	7778
174	1644	7751
175	1653	7741
176	1659	7714
177	1668	7706
178	1674	7680
179	1683	7668
180	1688	7642
181	1697	7628
182	1706	7616
183	1718	7619
184	1724	7597
185	1734	7589
186	1739	7564
187	1748	7552
188	1753	7526
189	1763	7516
190	1769	7495
191	1778	7485
192	1785	7464
193	1790	7439
194	1801	7435
195	1806	7411
196	1815	7402
197	1821	7378
198	1830	7369
199	1836	7345
200	1847	7344
201	1853	7323
202	1862	7313
203	1868	7290
204	1877	7281
205	1883	7257
206	1891	7247
207	1898	7228
208	1903	7205
209	1915	7207
210	1924	7196
211	1930	7175
212	1936	7153
213	1946	7150
214	1952	7128
215	1961	7119
216	1967	7098
217	1977	7092
218	1982	7069
219	1991	7060
220	1996	7038
221	2005	7027
222	2011	7009
223	2016	6987
224	2026	6980
225	2031	6958
226	2040	6949
227	2046	6927
228	2054	6917
229	2060	6898
230	2065	6876
231	2071	6857
232	2076	6835
233	2085	6825
234	2090	6806
235	2100	6799
236	2109	6791
237	2120	6788
238	2125	6768
239	2135	6763
240	2141	6743
241	2150	6736
242	2156	6717
243	2165	6709
244	2171	6692
245	2180	6683
246	2186	6664
247	2191	6645
248	2201	6638
249	2206	6619
250	2214	6609
251	2220	6590
252	2229	6582
253	2234	6563
254	2240	6544
255	2246	6528
256	2251	6509
257	2260	6500
258	2265	6481
259	2273	6471
260	2279	6453
261	2284	6434
262	2293	6427
263	2299	6409
264	2307	6400
265	2313	6382
266	2321	6374
267	2327	6358
268	2333	6340
269	2341	6330
270	2351	6324
271	2357	6310
272	2366	6302
273	2372	6285
274	2377	6266
275	2387	6262
276	2392	6245
277	2402	6240
278	2408	6222
279	2417	6217
280	2423	6200
281	2432	6193
282	2438	6177
283	2443	6160
284	2449	6145
285	2454	6128
286	2464	6122
287	2469	6106
288	2480	6103
289	2487	6089
290	2499	6089
291	2511	6090
292	2518	6078
293	2528	6072
294	2534	6057
295	2544	6051
296	2550	6036
297	2559	6029
298	2565	6014
299	2574	6006
300	2580	5992
301	2589	5985
302	2596	5972
303	2605	5965
304	2611	5951
305	2617	5936
306	2628	5932
307	2633	5917
308	2646	5918
309	2655	5910
310	2662	5899
311	2671	5891
312	2677	5877
313	2686	5868
314	2693	5856
315	2698	5841
316	2704	5827
317	2715	5823
318	2722	5812
